datetime,open,high,low,close,volume
2026-02-09T00:00:00+00:00,323.03,327.59,310.01,310.95,263681
2026-02-12T00:00:00+00:00,310.95,316.35,303.78,305.78,369140
2026-02-15T00:00:00+00:00,305.78,305.78,296.76,302.85,125325
2026-02-18T00:00:00+00:00,302.85,316.64,300.49,314.51,417018
2026-02-21T00:00:00+00:00,314.51,319.1,309.87,311.65,103033
2026-02-24T00:00:00+00:00,311.65,313.52,302.24,307.22,244853
2026-02-27T00:00:00+00:00,307.22,311.87,303.38,311.35,104748
2026-03-02T00:00:00+00:00,311.35,311.35,296.51,303.1,296766
2026-03-05T00:00:00+00:00,303.1,303.1,294.92,297.86,236802
2026-03-08T00:00:00+00:00,297.86,309.03,293.47,306.63,197479
2026-03-11T00:00:00+00:00,306.63,310.91,299.65,301.47,309969
2026-03-14T00:00:00+00:00,301.47,305.46,301.47,304.47,94188
2026-03-17T00:00:00+00:00,304.47,310.61,300.84,305.55,265886
2026-03-20T00:00:00+00:00,305.55,305.55,296.59,298.84,92811
2026-03-23T00:00:00+00:00,298.84,303.23,287.21,289.42,302430
2026-03-26T00:00:00+00:00,289.42,289.42,273.33,273.66,209629
2026-03-29T00:00:00+00:00,273.66,286.94,271.4,286.84,235863
2026-04-01T00:00:00+00:00,286.84,297.85,286.84,294.28,376660
2026-04-04T00:00:00+00:00,294.28,298.28,293.63,297.42,104983
2026-04-07T00:00:00+00:00,297.42,319.08,295.29,316.36,293114
2026-04-10T00:00:00+00:00,316.36,319.31,314.41,315.79,80787
2026-04-13T00:00:00+00:00,315.79,334.63,313.56,334.23,170177
2026-04-16T00:00:00+00:00,334.23,339.86,331.53,339.08,145547
2026-04-19T00:00:00+00:00,339.08,339.08,329.54,330.39,114220
2026-04-22T00:00:00+00:00,330.39,343.56,330.39,342.07,190739
2026-04-25T00:00:00+00:00,342.07,350.76,340.67,348.52,50257
2026-04-28T00:00:00+00:00,348.52,382.46,342.23,381.52,207649
2026-05-01T00:00:00+00:00,381.52,383.31,375.03,383,67390
2026-05-04T00:00:00+00:00,383,396.25,376.63,395.15,181370
2026-05-07T00:00:00+00:00,395.15,398.15,390.18,396.97,126950
2026-05-10T00:00:00+00:00,396.97,396.97,379.57,383.96,123419
2026-05-13T00:00:00+00:00,383.96,399.8,381.09,393.36,214072
2026-05-16T00:00:00+00:00,393.36,404.28,390.49,393.27,67377
2026-05-19T00:00:00+00:00,393.27,393.27,379.33,383.23,232139
2026-05-22T00:00:00+00:00,383.23,384.74,378.13,379.4,61424
2026-05-25T00:00:00+00:00,379.4,389.52,378.99,384.74,117775
2026-05-28T00:00:00+00:00,384.74,387.68,374.18,376.27,160928
2026-05-31T00:00:00+00:00,376.27,376.27,354.88,358.25,119384
2026-06-03T00:00:00+00:00,358.25,369.7,354.23,365.68,269788
2026-06-06T00:00:00+00:00,365.68,365.68,357.69,361.1,73203
2026-06-09T00:00:00+00:00,361.1,369.49,343.49,356.47,368153
2026-06-12T00:00:00+00:00,356.47,364.59,353.13,357.96,76970
2026-06-15T00:00:00+00:00,357.96,373.4,357.96,362.24,275229
2026-06-18T00:00:00+00:00,362.24,368.22,356.48,366.92,107665
2026-06-21T00:00:00+00:00,366.92,366.92,339.06,346.01,144187
2026-06-24T00:00:00+00:00,346.01,352.63,333.56,334.55,327956
2026-06-27T00:00:00+00:00,334.55,351.84,334.55,350.89,58530
2026-06-30T00:00:00+00:00,350.89,360.81,347.97,355.69,183015
2026-07-06T00:00:00+00:00,355.69,370.72,354,358.31,181446
2026-07-09T00:00:00+00:00,358.31,358.31,348.48,354.88,167790
2026-07-12T00:00:00+00:00,354.88,357.66,347.09,357.34,111179
2026-07-15T00:00:00+00:00,357.34,374.13,341.01,345.9,268887
2026-07-18T00:00:00+00:00,345.9,359.25,345.9,351.39,55871
2026-07-21T00:00:00+00:00,351.39,351.39,314.78,318.12,297704
2026-07-24T00:00:00+00:00,318.12,323.81,317.16,318.98,78556
2026-07-27T00:00:00+00:00,318.98,341.8,318.98,335.66,292048
2026-07-30T00:00:00+00:00,335.66,358.71,329.59,356.59,222201
2026-08-02T00:00:00+00:00,356.59,377.52,356.59,375.23,124666
2026-08-05T00:00:00+00:00,375.23,381.32,352.98,353.08,166994
2026-08-08T00:00:00+00:00,353.35,355.84,351.33,355.59,39311
2026-08-11T00:00:00+00:00,355.59,355.59,339.68,343.83,124735
2026-08-14T00:00:00+00:00,343.83,347.75,341.93,343.41,37240
2026-08-17T00:00:00+00:00,343.41,344.77,337.39,341.62,146982
2026-08-20T00:00:00+00:00,341.62,343.14,336.05,341.71,91813
2026-08-23T00:00:00+00:00,341.71,347.88,339.2,342.51,79819
2026-08-26T00:00:00+00:00,343.24,345.29,335.23,342.56,87739
2026-08-29T00:00:00+00:00,342.56,342.56,333.29,335.61,42989
2026-09-01T00:00:00+00:00,335.61,335.61,329.14,331.77,50614
